Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Shelter Repair Beneficiaries Selected,"First Distribution (6,000 PHP)","Second Distribution (4,000 PHP)",CGI,Shelter Repair Closeout / Completed,Shelter Tool Kits,Sanitation Kits,Core Shelter Beneficiaries Selected,Construction Started,Wooden Shelter (Core Shelter),Half Concrete (Core Shelter),Core Shelter PDM,Relocation Beneficiaries Selected,Relocation Completed,Relocation PDM,Training- Skilled Labour
060600000,060602000,060602018,IFRC,Antique,Barbaza,Embrangga-an,Upland,7/4/14,8,,,,,,,,,,,,,,,
060600000,060602000,060602018,IFRC,Antique,Barbaza,Embrangga-an,,7/25/14,,,21,,21,,,,,,,,,,,
060600000,060602000,060602013,IFRC,Antique,Barbaza,Esparar,,6/14/14,70,,,,,,,49,,,,,,,,
060600000,060602000,060602013,IFRC,Antique,Barbaza,Esparar,,6/17/14,3,,,,,,,,,,,,,,,
060600000,060602000,060602013,IFRC,Antique,Barbaza,Esparar,,6/22/14,,,,70,,,,,,,,,,,,
060600000,060602000,060602013,IFRC,Antique,Barbaza,Esparar,,6/26/14,,69,,,,,,,,,,,,,,
060600000,060602000,060602013,IFRC,Antique,Barbaza,Esparar,,7/25/14,,,69,,69,,,,,,,,,,,
060600000,060602000,060602014,IFRC,Antique,Barbaza,Gua,,6/18/14,77,,,,,,,36,,,,,,,,
060600000,060602000,060602016,IFRC,Antique,Barbaza,Igpalge,,6/14/14,78,,,,,,,21,,,,,,,,
060600000,060602000,060602016,IFRC,Antique,Barbaza,Igpalge,,6/19/14,8,,,,,,,,,,,,,,,
060600000,060602000,060602016,IFRC,Antique,Barbaza,Igpalge,,6/22/14,,,,78,,,,,,,,,,,,
060600000,060602000,060602016,IFRC,Antique,Barbaza,Igpalge,,6/26/14,,78,,,,,,,,,,,,,,
060600000,060602000,060602016,IFRC,Antique,Barbaza,Igpalge,,7/25/14,,,74,,74,,,,,,,,,,,
060600000,060602000,060602020,IFRC,Antique,Barbaza,Ipil,,7/1/14,54,,,,,,,33,,,,,,,,
060600000,060602000,060602021,IFRC,Antique,Barbaza,Jinalinan,,6/15/14,95,,,,,,,40,,,,,,,,
060600000,060602000,060602021,IFRC,Antique,Barbaza,Jinalinan,,6/21/14,,,,95,,,,,,,,,,,,
060600000,060602000,060602021,IFRC,Antique,Barbaza,Jinalinan,,6/26/14,,94,,,,,,,,,,,,,,
060600000,060602000,060602021,IFRC,Antique,Barbaza,Jinalinan,,7/9/14,39,,,,,,,,,,,,,,,
060600000,060602000,060602021,IFRC,Antique,Barbaza,Jinalinan,,7/25/14,,,92,,92,,,,,,,,,,,
060600000,060602000,060602024,IFRC,Antique,Barbaza,Lisub,,7/3/14,91,,,,,,,14,,,,,,,,
060600000,060602000,060602026,IFRC,Antique,Barbaza,Mablad,upland,6/19/14,76,,,,,,,9,,,,,,,,
060600000,060602000,060602026,IFRC,Antique,Barbaza,Mablad,Upland,6/19/14,1,,,,,,,,,,,,,,,
060600000,060602000,060602026,IFRC,Antique,Barbaza,Mablad,,6/22/14,,,,76,,,,,,,,,,,,
060600000,060602000,060602026,IFRC,Antique,Barbaza,Mablad,,6/26/14,,76,,,,,,,,,,,,,,
060600000,060602000,060602026,IFRC,Antique,Barbaza,Mablad,,7/25/14,,,75,,75,,,,,,,,,,,
060600000,060602000,060602027,IFRC,Antique,Barbaza,Magtulis,,6/10/14,45,,,,,,,26,,,,,,,,
060600000,060602000,060602030,IFRC,Antique,Barbaza,Mayos,Upland,6/26/14,24,,,,,,,6,,,,,,,,
060600000,060602000,060602033,IFRC,Antique,Barbaza,Palma,,6/20/14,128,,,,,,,42,,,,,,,,
060600000,060602000,060602034,IFRC,Antique,Barbaza,Poblacion,,6/23/14,62,,,,,,,35,,,,,,,,
060600000,060602000,060602035,IFRC,Antique,Barbaza,San Antonio,,6/29/14,51,,,,,,,31,,,,,,,,
060600000,060602000,060602040,IFRC,Antique,Barbaza,Yapo,,6/18/14,43,,,,,,,18,,,,,,,,
060600000,060606000,060606005,German Red Cross,Antique,Culasi,Batbatan Island,,5/30/14,250,,,,,,,135,,,,,,,,
060600000,060606000,060606005,German Red Cross,Antique,Culasi,Batbatan Island,,6/19/14,,127,,127,,,,,,,,,,,,
060600000,060606000,060606005,German Red Cross,Antique,Culasi,Batbatan Island,,6/20/14,,123,,123,,,,,,,,,,,,
060600000,060606000,060606026,German Red Cross,Antique,Culasi,Malalison Island,,6/11/14,104,,,,,,,19,,,,,,,,
060600000,060606000,060606026,German Red Cross,Antique,Culasi,Malalison Island,,7/8/14,,,,104,,,,,,,,,,,,
060600000,060606000,060606026,German Red Cross,Antique,Culasi,Malalison Island,,7/11/14,,104,,,,,,,,,,,,,,
